Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),N_c,C/T,C/T_F814W,r_c/h,f_cs(0.2)
EGS22922,CEERS,F115W,1.905,10.08,0.397,-22.46,-23.24,2,21.381,11,0.081,0.057,1.95,0.73
EGS22922,CEERS,F150W,1.905,10.08,0.517,-22.83,-23.24,2,32.84,11,0.067,0.057,1.82,0.82
EGS22922,CEERS,F200W,1.905,10.08,0.685,-23.13,-23.24,2,26.431,11,0.065,0.057,2.32,0.55
EGS22922,CEERS,F277W,1.905,10.08,0.959,-23.32,-23.24,2,26.706,11,0.046,0.057,2.17,0.73
EGS22922,CEERS,F356W,1.905,10.08,1.226,-23.45,-23.24,2,28.321,11,0.04,0.057,2.17,0.73
EGS22922,CEERS,F410M,1.905,10.08,1.409,-23.5,-23.24,2,28.621,10,0.038,0.057,2.16,0.7
EGS22922,CEERS,F444W,1.905,10.08,1.522,-23.58,-23.24,2,26.645,10,0.04,0.057,2.4,0.6
EGS23205,CEERS,F200W,2.136,10.44,0.635,-23.45,-23.75,2,24.042,14,0.043,0.029,1.92,0.43
EGS23205,CEERS,F277W,2.136,10.44,0.888,-23.9,-23.75,2,21.455,13,0.022,0.029,1.77,0.54
EGS23205,CEERS,F356W,2.136,10.44,1.136,-24.32,-23.75,2,26.737,13,0.02,0.029,2.08,0.46
EGS23205,CEERS,F410M,2.136,10.44,1.305,-24.52,-23.75,2,24.287,14,0.02,0.029,2.13,0.36
EGS23205,CEERS,F444W,2.136,10.44,1.41,-24.57,-23.75,2,29.381,11,0.018,0.029,2.25,0.55
EGS23259,CEERS,F115W,1.533,9.34,0.456,-21.51,,3,16.484,10,0.046,0.032,1.79,0.7
EGS23259,CEERS,F150W,1.533,9.34,0.593,-21.98,,3,18.159,11,0.041,0.032,1.73,0.64
EGS23259,CEERS,F200W,1.533,9.34,0.786,-22.32,,3,17.741,11,0.035,0.032,2.3,0.55
